Year,Agriculture (% of GDP),Industry (% of GDP),Services (% of GDP),Manufacturing (% of GDP)
2024,17.96,23.85,49.34,12.87
2025,18.46,23.21,49.35,12.55
2026,19.02,22.53,49.31,12.21
2027,19.64,21.8,49.24,11.85
2028,20.34,21.04,49.13,11.48
2029,21.11,20.22,48.97,11.09
2030,21.96,19.36,48.77,10.68
